Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,MA_7,52W High,52W Low,Volatility
2025-06-19 00:00:00+05:30,3364.3942,3365.3693,3328.3123,3339.0393,2672768,0.0,0.0,-0.0075,3376.7651,3509.2241,2953.9634,0.0132
2025-06-20 00:00:00+05:30,3340.0143,3360.7858,3326.2641,3350.4487,2351248,0.0,0.0,0.0031,3371.722,3509.2241,2953.9634,0.0133
2025-06-23 00:00:00+05:30,3330.2627,3340.0146,3286.3793,3309.3938,3123421,0.0,0.0,-0.0063,3366.0659,3509.2241,2953.9634,0.0128
2025-06-24 00:00:00+05:30,3349.3764,3356.6903,3298.0815,3306.2729,3403048,0.0,0.0,-0.0129,3358.3619,3509.2241,2953.9634,0.0117
2025-06-25 00:00:00+05:30,3322.7537,3364.3942,3315.6348,3359.3232,1757699,0.0,0.0,0.011,3351.1873,3509.2241,2953.9634,0.0103
2025-06-26 00:00:00+05:30,3359.3233,3365.7594,3330.5553,3356.3977,2879106,0.0,0.0,-0.0009,3340.9479,3509.2241,2953.9634,0.0101
2025-06-27 00:00:00+05:30,3369.2703,3380.3874,3345.8659,3355.7153,1778433,0.0,0.0,-0.004,3339.513,3509.2241,2953.9634,0.0078
2025-06-30 00:00:00+05:30,3354.5447,3378.9244,3344.8905,3376.0964,1468351,0.0,0.0,0.0064,3344.8069,3509.2241,2953.9634,0.0081
2025-07-01 00:00:00+05:30,3369.2702,3398.5258,3328.7999,3344.5979,2375183,0.0,0.0,-0.0073,3343.9711,3509.2241,2953.9634,0.0083
2025-07-02 00:00:00+05:30,3400.671,3403.304,3335.1385,3338.3567,3090585,0.0,0.0,-0.0183,3348.1086,3509.2241,2953.9634,0.0103
2025-07-03 00:00:00+05:30,3344.8904,3350.059,3313.2945,3316.415,2531870,0.0,0.0,-0.0085,3349.5575,3509.2241,2953.9634,0.0098
2025-07-04 00:00:00+05:30,3323.4364,3341.9649,3305.9806,3334.9436,1109320,0.0,0.0,0.0035,3346.0747,3509.2241,2953.9634,0.0083
2025-07-07 00:00:00+05:30,3333.481,3341.0875,3323.8265,3327.0447,1639174,0.0,0.0,-0.0019,3341.8814,3509.2241,2953.9634,0.0082
2025-07-08 00:00:00+05:30,3320.511,3340.0147,3309.1987,3321.6812,2325242,0.0,0.0,0.0004,3337.0194,3509.2241,2953.9634,0.0084
2025-07-09 00:00:00+05:30,3325.3865,3329.2873,3283.4535,3299.8367,2034938,0.0,0.0,-0.0077,3326.1251,3509.2241,2953.9634,0.0072
2025-07-10 00:00:00+05:30,3296.1309,3314.6595,3272.7264,3298.0813,3035012,0.0,0.0,0.0006,3319.4799,3509.2241,2953.9634,0.0075
2025-07-11 00:00:00+05:30,3218.0185,3252.2476,3180.1814,3184.9597,7635550,0.0,0.0,-0.0103,3297.566,3509.2241,2953.9634,0.0053
